Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
644;-0.34;-0.59;9.49;-0.14;0.68;-0.42;0.28;-0.28;0.21
653;-0.48;-0.53;9.50;-0.14;0.68;-0.42;-0.28;-0.14;-0.28
662;-0.45;-0.55;9.43;-0.14;0.68;-0.42;-0.07;-0.35;-0.42
670;-0.41;-0.63;9.48;-0.14;0.69;-0.43;-0.28;-0.14;17.85
679;-0.39;-0.65;9.61;-0.14;0.69;-0.43;-0.35;-0.42;-0.21
688;-0.39;-0.61;9.52;-0.14;0.69;-0.43;-0.28;-0.63;-0.35
697;-0.36;-0.65;9.51;-0.15;0.69;-0.46;-0.28;-0.63;-0.28
705;-0.50;-0.50;9.50;-0.15;0.69;-0.46;-0.21;-0.21;0.14
714;-0.52;-0.60;9.58;-0.15;0.69;-0.46;-0.14;-0.49;-0.35
723;-0.48;-0.65;9.54;-0.13;0.69;-0.43;0.00;-0.35;-0.42
732;-0.44;-0.55;9.50;-0.13;0.69;-0.43;-0.14;-0.56;-0.28
740;-0.41;-0.56;9.62;-0.13;0.69;-0.43;-0.28;-0.42;-0.14
749;-0.39;-0.52;9.45;-0.14;0.69;-0.44;-0.14;-0.07;-0.14
758;-0.42;-0.61;9.57;-0.14;0.69;-0.44;-0.35;-0.56;-0.14
767;-0.38;-0.61;9.56;-0.14;0.69;-0.44;-0.07;-0.63;-0.49
775;-0.40;-0.57;9.48;-0.14;0.70;-0.43;-0.07;-0.56;-0.35
784;-0.43;-0.60;9.57;-0.14;0.70;-0.43;-0.28;-0.49;-0.35
793;-0.44;-0.60;9.62;-0.14;0.70;-0.43;0.21;-0.63;-0.56
802;-0.40;-0.56;9.53;-0.14;0.70;-0.44;-0.14;-0.42;-0.49
810;-0.42;-0.57;9.58;-0.14;0.70;-0.44;-0.21;-0.56;-0.49
819;-0.44;-0.66;9.48;-0.14;0.70;-0.44;-0.14;-0.35;-0.07
828;-0.43;-0.67;9.43;-0.14;0.70;-0.43;-0.14;-0.63;-0.28
837;-0.44;-0.52;9.47;-0.14;0.70;-0.43;-0.49;-0.35;-0.14
845;-0.41;-0.67;9.63;-0.14;0.70;-0.43;-0.07;-0.21;-0.49
854;-0.44;-0.61;9.51;-0.15;0.69;-0.44;-0.14;0.00;-0.28
863;-0.29;-0.60;9.58;-0.15;0.69;-0.44;0.28;-0.49;-0.28
872;-0.42;-0.60;9.57;-0.15;0.69;-0.44;-0.42;-0.63;-0.56
880;-0.40;-0.60;9.47;-0.15;0.69;-0.44;-0.42;-0.63;-0.35
889;-0.39;-0.66;9.58;-0.15;0.69;-0.44;-0.56;-0.21;-0.14
898;-0.45;-0.65;9.58;-0.15;0.69;-0.44;-0.21;-0.14;-0.42
907;-0.43;-0.60;9.58;-0.15;0.69;-0.44;-0.14;-0.28;-0.35
915;-0.45;-0.58;9.60;-0.15;0.69;-0.44;0.14;-0.63;-0.28
924;-0.39;-0.71;9.59;-0.15;0.69;-0.44;0.07;-0.42;-0.35
933;-0.54;-0.62;9.50;-0.14;0.69;-0.44;0.07;-0.77;0.00
942;-0.29;-0.55;9.54;-0.14;0.69;-0.44;0.00;-0.28;-0.35
950;-0.42;-0.54;9.51;-0.14;0.69;-0.44;-0.07;-0.35;-0.35
959;-0.42;-0.58;9.52;-0.14;0.69;-0.43;-0.42;-0.35;0.00
968;-0.42;-0.60;9.53;-0.14;0.69;-0.43;-0.07;-0.63;-0.35
976;-0.47;-0.60;9.65;-0.14;0.70;-0.44;-0.35;-0.49;-0.42
985;-0.45;-0.60;9.55;-0.14;0.70;-0.44;-17.92;-0.77;-0.35
994;-0.40;-0.61;9.50;-0.14;0.70;-0.44;0.00;-0.28;-0.21
1003;-0.42;-0.68;9.50;-0.14;0.69;-0.44;0.00;-0.42;-0.21
1011;-0.50;-0.62;9.55;-0.14;0.69;-0.44;-0.07;-0.42;-0.21
1020;-0.48;-0.64;9.55;-0.14;0.69;-0.44;-0.14;-0.49;-0.28
1029;-0.37;-0.62;9.55;-0.14;0.68;-0.46;-0.21;-0.35;-0.42
1038;-0.42;-0.60;9.52;-0.14;0.68;-0.46;-0.35;-0.42;-0.56
1046;-0.46;-0.60;9.71;-0.14;0.68;-0.46;-0.56;-0.42;-0.42
1055;-0.42;-0.56;9.60;-0.14;0.69;-0.44;-0.14;-0.49;-0.49
1064;-0.45;-0.63;9.58;-0.14;0.69;-0.44;-0.28;-0.63;-0.42
1073;-0.39;-0.60;9.59;-0.14;0.69;-0.44;0.00;-0.56;-0.07
1082;-0.32;-0.65;9.63;-0.13;0.69;-0.44;-0.28;-0.07;-0.42
1090;-0.39;-0.58;9.54;-0.13;0.69;-0.44;-0.07;-0.63;-0.21
1099;-0.45;-0.58;9.53;-0.13;0.69;-0.44;0.00;-0.42;-0.14
1108;-0.38;-0.57;9.51;-0.14;0.69;-0.44;-0.63;-0.35;-0.21
1117;-0.46;-0.60;9.64;-0.14;0.69;-0.44;-0.21;-0.42;-0.42
1125;-0.42;-0.61;9.43;-0.14;0.69;-0.44;-0.28;-0.56;-0.35
1134;-0.40;-0.69;9.48;-0.14;0.69;-0.45;-0.21;-0.35;-0.28
1143;-0.42;-0.64;9.49;-0.14;0.69;-0.45;-0.07;-0.63;-0.42
1152;-0.33;-0.65;9.48;-0.14;0.69;-0.45;0.14;-0.49;-0.21
1160;-0.45;-0.63;9.60;-0.15;0.69;-0.43;-0.07;-0.42;-0.14
1169;-0.42;-0.64;9.55;-0.15;0.69;-0.43;-0.35;-0.35;-0.42
1178;-0.41;-0.53;9.56;-0.15;0.69;-0.43;0.00;-0.49;-0.28
1187;-0.34;-0.63;9.54;-0.14;0.70;-0.44;-0.14;-0.35;-0.63
1195;-0.47;-0.54;9.55;-0.14;0.70;-0.44;0.07;-0.84;-0.14
1204;-0.42;-0.64;9.61;-0.14;0.70;-0.44;-0.56;-0.35;-0.42
1213;-0.50;-0.52;9.55;-0.15;0.68;-0.43;0.14;-0.35;-0.35
1222;-0.42;-0.60;9.59;-0.15;0.68;-0.43;-0.28;-0.49;-0.14
1230;-0.52;-0.65;9.62;-0.15;0.68;-0.43;-0.42;-0.21;0.00
1239;-0.40;-0.59;9.66;-0.15;0.69;-0.44;0.21;-0.42;-0.42
1248;-0.37;-0.62;9.68;-0.15;0.69;-0.44;0.00;-0.35;-0.42
1257;-0.37;-0.58;9.57;-0.15;0.69;-0.44;-0.07;-0.07;-0.21
1265;-0.44;-0.62;9.66;-0.14;0.69;-0.45;-0.21;-0.28;-0.49
1274;-0.39;-0.66;9.61;-0.14;0.69;-0.45;-0.14;-0.21;-0.14
1283;-0.45;-0.63;9.68;-0.14;0.69;-0.45;0.00;-0.56;-0.28
1291;-0.42;-0.66;9.60;-0.14;0.69;-0.46;-0.28;-0.28;0.07
1300;-0.36;-0.64;9.55;-0.14;0.69;-0.46;0.21;-0.70;-0.21
1309;-0.45;-0.66;9.53;-0.14;0.69;-0.46;-0.21;-0.77;-0.42
1318;-0.45;-0.60;9.58;-0.14;0.69;-0.44;0.14;-0.28;-0.28
1326;-0.34;-0.57;9.57;-0.14;0.69;-0.44;-0.35;-0.42;-0.49
1335;-0.37;-0.54;9.57;-0.14;0.69;-0.44;0.00;-0.35;-0.28
1344;-0.38;-0.61;9.49;-0.14;0.68;-0.45;0.21;-0.42;-0.21
1353;-0.51;-0.66;9.56;-0.14;0.68;-0.45;-0.35;-0.28;-0.14
1361;-0.44;-0.62;9.44;-0.15;0.69;-0.44;-0.21;-0.35;-0.28
1370;-0.38;-0.69;9.60;-0.15;0.69;-0.44;0.07;-0.42;-0.28
1379;-0.54;-0.62;9.55;-0.15;0.69;-0.44;-0.14;-0.42;-0.35
1388;-0.45;-0.60;9.59;-0.14;0.70;-0.44;-0.42;-0.49;-0.35
1396;-0.43;-0.70;9.61;-0.14;0.70;-0.44;-0.21;-0.35;-0.42
1405;-0.40;-0.57;9.56;-0.14;0.70;-0.44;0.21;-0.49;-0.28
1414;-0.42;-0.60;9.60;-0.14;0.69;-0.45;-0.28;-0.35;-0.42
1423;-0.44;-0.57;9.61;-0.14;0.69;-0.45;-0.21;-0.28;-0.21
1431;-0.42;-0.57;9.54;-0.14;0.69;-0.45;-0.07;-0.42;-0.21
1440;-0.33;-0.63;9.62;-0.15;0.69;-0.44;-0.28;-0.35;0.00
1449;-0.39;-0.67;9.65;-0.15;0.69;-0.44;0.07;-0.49;-0.35
1458;-0.50;-0.55;9.63;-0.15;0.69;-0.44;0.07;-0.14;-0.63
1466;-0.47;-0.57;9.52;-0.14;0.69;-0.46;0.35;-0.35;0.00
1475;-0.45;-0.65;9.55;-0.14;0.69;-0.46;-0.07;-0.28;-0.42
1484;-0.38;-0.50;9.58;-0.14;0.69;-0.46;0.00;-0.35;-0.14
1493;-0.38;-0.66;9.48;-0.14;0.68;-0.44;0.14;-0.49;-0.35
1501;-0.48;-0.67;9.47;-0.14;0.68;-0.44;-0.14;-0.42;0.00
1510;-0.31;-0.68;9.60;-0.14;0.68;-0.44;0.00;-0.42;-0.21
1519;-0.41;-0.60;9.60;-0.14;0.68;-0.44;-0.21;-0.35;-0.35
1527;-0.49;-0.63;9.56;-0.14;0.68;-0.44;0.07;-0.42;0.00
1536;-0.36;-0.63;9.52;-0.14;0.68;-0.44;0.00;-0.77;-0.28
1545;-0.34;-0.61;9.57;-0.14;0.69;-0.43;-0.35;-0.84;-0.35
1554;-0.34;-0.56;9.47;-0.14;0.69;-0.43;0.07;-0.28;-0.35
1562;-0.39;-0.55;9.58;-0.14;0.69;-0.43;0.14;-0.63;-0.28
1571;-0.46;-0.63;9.38;-0.14;0.69;-0.44;-0.14;-0.56;-0.49
1580;-0.42;-0.64;9.55;-0.14;0.69;-0.44;0.21;0.14;-0.21
1589;-0.33;-0.58;9.48;-0.14;0.69;-0.44;0.07;-0.42;-0.35
1597;-0.31;-0.65;9.53;-0.15;0.68;-0.45;-0.42;-0.49;-0.42
1606;-0.39;-0.61;9.53;-0.15;0.68;-0.45;0.07;-0.42;-0.42
1615;-0.33;-0.63;9.53;-0.15;0.68;-0.45;0.00;-0.35;-0.14
1623;-0.42;-0.60;9.50;-0.14;0.69;-0.44;-0.14;-0.35;-0.35
1632;-0.38;-0.60;9.64;-0.14;0.69;-0.44;-0.21;-0.35;-0.56
1641;-0.44;-0.52;9.60;-0.14;0.69;-0.44;-0.07;-0.28;-0.14
1650;-0.37;-0.59;9.48;-0.14;0.69;-0.46;0.35;-0.14;-0.21
1659;-0.48;-0.59;9.55;-0.14;0.69;-0.46;-0.28;-0.21;-0.49
1667;-0.44;-0.62;9.65;-0.14;0.69;-0.46;0.35;-0.07;-0.14
1676;-0.49;-0.62;9.58;-0.15;0.69;-0.44;-0.07;0.07;-0.21
1685;-0.47;-0.62;9.64;-0.15;0.69;-0.44;0.00;-0.56;-0.35
1694;-0.45;-0.60;9.53;-0.15;0.69;-0.44;-0.14;-0.28;-0.42
1702;-0.47;-0.64;9.63;-0.15;0.69;-0.43;0.21;-0.42;-0.35
1711;-0.42;-0.62;9.43;-0.15;0.69;-0.43;0.00;-0.56;-0.28
1720;-0.44;-0.60;9.45;-0.15;0.69;-0.44;0.28;-0.77;-0.42
1728;-0.42;-0.53;9.45;-0.14;0.68;-0.44;0.07;-0.42;-0.35
1737;-0.32;-0.56;9.60;-0.14;0.68;-0.44;-0.56;-0.49;-0.56
1746;-0.55;-0.60;9.53;-0.14;0.69;-0.44;-0.14;-0.35;-0.21
1755;-0.49;-0.55;9.55;-0.14;0.69;-0.44;0.14;-0.28;-0.14
1763;-0.40;-0.61;9.60;-0.14;0.69;-0.44;-0.21;-0.49;-0.07
1772;-0.45;-0.60;9.60;-0.14;0.69;-0.43;0.00;-0.28;-0.28
1781;-0.39;-0.65;9.55;-0.14;0.69;-0.43;-0.07;-0.28;-0.14
