Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
662;-3.21;0.11;9.09;0.05;0.39;-0.42;-1.94;-0.14;-0.69
670;-3.19;0.13;9.04;0.04;0.39;-0.44;-2.50;0.28;-0.83
679;-3.11;0.15;9.01;0.04;0.39;-0.44;-2.45;0.42;-0.95
688;-3.10;0.22;9.07;0.04;0.39;-0.44;-2.09;0.52;-0.88
697;-3.10;0.20;9.04;0.04;0.39;-0.43;-1.62;0.15;-0.95
705;-3.06;0.19;9.08;0.04;0.39;-0.43;-0.90;-0.40;-0.99
714;-3.05;0.14;9.06;0.04;0.39;-0.43;-0.77;-0.53;-0.83
723;-3.13;0.13;9.11;0.05;0.39;-0.43;-1.09;-0.36;-0.74
732;-3.05;0.11;9.08;0.05;0.39;-0.43;-1.38;-0.51;-0.77
740;-3.13;0.11;9.05;0.05;0.39;-0.43;-1.91;-0.44;-0.74
749;-3.08;0.11;9.05;0.04;0.39;-0.43;-2.03;-0.46;-0.46
758;-3.12;0.16;8.99;0.04;0.39;-0.43;-2.04;-0.38;-0.49
767;-3.07;0.18;9.10;0.04;0.39;-0.43;-1.93;-0.48;-0.55
776;-3.11;0.19;9.12;0.04;0.39;-0.43;-1.63;-0.47;-0.60
784;-3.08;0.19;9.05;0.04;0.39;-0.43;-1.56;-0.60;-0.63
793;-3.13;0.13;9.11;0.04;0.39;-0.43;-1.52;-0.83;-0.80
802;-3.14;0.13;9.12;0.03;0.39;-0.42;-1.29;-0.85;-0.61
810;-3.12;0.11;9.13;0.03;0.39;-0.42;-1.82;-0.73;-0.86
819;-3.13;0.11;9.06;0.03;0.39;-0.42;-1.21;-0.64;-0.81
828;-3.12;0.12;9.04;0.05;0.39;-0.43;-1.75;-0.67;-0.66
837;-3.11;0.13;9.03;0.05;0.39;-0.43;-1.60;-0.40;-0.77
845;-3.09;0.17;9.09;0.05;0.39;-0.43;-2.07;-0.31;-0.69
854;-3.14;0.21;8.94;0.05;0.39;-0.43;-1.42;-0.31;-0.54
863;-3.10;0.21;9.09;0.05;0.39;-0.43;-1.12;-0.60;-0.75
872;-3.17;0.17;9.09;0.05;0.39;-0.43;-1.12;-0.61;-0.74
880;-3.13;0.17;9.06;0.04;0.39;-0.44;-0.90;-0.52;-0.78
889;-3.10;0.14;9.24;0.04;0.39;-0.44;-1.06;-0.67;-0.94
898;-3.15;0.09;9.08;0.04;0.39;-0.44;-1.51;-0.48;-0.94
907;-3.10;0.09;9.13;0.05;0.39;-0.43;-1.78;-0.19;-0.72
