Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
654;-1.21;-10.01;-1.48;0.06;0.94;-0.08;0.70;-0.98;2.10
663;-1.16;-9.88;-1.43;0.06;0.94;-0.08;0.35;-1.26;1.96
672;-1.11;-9.81;-1.34;0.06;0.95;-0.08;-0.63;-0.42;2.10
680;-1.13;-9.81;-1.38;0.06;0.95;-0.08;-0.98;-0.49;2.10
689;-1.12;-9.83;-1.39;0.06;0.95;-0.08;-0.91;-0.70;1.68
698;-1.16;-9.85;-1.24;0.07;0.95;-0.08;-1.19;-0.63;1.54
707;-1.27;-9.83;-1.20;0.07;0.95;-0.08;-0.49;-0.49;1.54
716;-1.19;-9.81;-1.22;0.07;0.95;-0.08;-0.28;-0.56;1.68
724;-1.26;-9.72;-1.28;0.07;0.94;-0.08;0.14;-0.28;1.33
733;-1.19;-9.72;-1.35;0.07;0.94;-0.08;-0.14;-0.56;1.19
742;-1.08;-9.69;-1.36;0.07;0.94;-0.08;-0.28;-0.63;0.77
751;-1.16;-9.66;-1.29;0.07;0.94;-0.09;-0.70;-0.70;-0.07
759;-1.11;-9.72;-1.41;0.07;0.94;-0.09;-1.19;-0.35;-0.49
768;-1.22;-9.73;-1.46;0.07;0.94;-0.09;-1.12;-0.35;-0.28
777;-1.16;-9.73;-1.39;0.06;0.94;-0.08;-0.56;-0.63;-0.35
786;-1.16;-9.69;-1.42;0.06;0.94;-0.08;-0.98;-0.91;-0.63
794;-1.26;-9.67;-1.42;0.06;0.94;-0.08;-0.63;-0.56;-0.91
803;-1.26;-9.60;-1.28;0.06;0.95;-0.09;-0.98;-0.35;-1.12
812;-1.16;-9.66;-1.28;0.06;0.95;-0.09;-0.98;-0.42;-1.61
821;-1.16;-9.63;-1.22;0.06;0.95;-0.09;-1.19;-0.42;-2.24
830;-1.17;-9.76;-1.26;0.06;0.94;-0.08;-0.56;-0.49;-2.73
838;-1.18;-9.86;-1.49;0.06;0.94;-0.08;-0.42;-0.63;-2.45
847;-1.11;-9.87;-1.36;0.06;0.94;-0.08;-0.56;-0.70;-2.66
856;-1.10;-9.88;-1.34;0.07;0.96;-0.08;-1.33;-0.56;-2.80
865;-1.21;-9.91;-1.24;0.07;0.96;-0.08;-1.89;-0.49;-3.08
873;-1.26;-9.99;-1.22;0.07;0.96;-0.08;-2.17;-0.35;-3.71
882;-1.29;-10.00;-1.25;0.07;0.94;-0.08;-2.66;-0.56;-4.97
891;-1.11;-10.05;-1.39;0.07;0.94;-0.08;-3.22;-0.14;-3.99
900;-1.24;-10.16;-1.37;0.07;0.95;-0.08;-3.64;1.12;-3.22
908;-1.26;-10.09;-1.24;0.07;0.95;-0.08;-4.20;0.70;-3.57
917;-1.32;-10.16;-1.36;0.07;0.95;-0.08;-3.15;0.42;-2.66
926;-1.36;-10.09;-1.30;0.06;0.94;-0.09;-1.96;-0.35;-1.82
935;-1.35;-10.19;-1.25;0.06;0.94;-0.09;-0.63;-1.19;-1.33
943;-1.37;-10.13;-1.14;0.06;0.94;-0.09;0.35;-0.98;-0.70
952;-1.41;-10.02;-1.18;0.06;0.96;-0.08;-0.21;-0.98;-0.56
961;-1.33;-10.01;-1.21;0.06;0.96;-0.08;-0.49;-0.98;-1.12
970;-1.36;-10.04;-1.16;0.06;0.96;-0.08;-1.33;-0.63;-0.98
979;-1.43;-10.06;-1.16;0.05;0.95;-0.07;-1.19;-0.98;-1.40
987;-1.40;-10.06;-1.24;0.05;0.95;-0.07;-1.68;-0.42;-0.91
996;-1.33;-10.15;-1.17;0.05;0.95;-0.07;-1.68;0.07;-0.63
1005;-1.41;-10.13;-1.11;0.06;0.95;-0.10;-2.17;0.14;-0.56
1014;-1.39;-10.08;-1.16;0.06;0.95;-0.10;-2.24;0.28;-0.14
1022;-1.31;-10.12;-1.21;0.06;0.95;-0.10;-2.17;-0.07;0.42
1031;-1.30;-10.03;-1.17;0.06;0.95;-0.08;-1.26;-0.77;0.91
1040;-1.25;-9.94;-1.27;0.06;0.95;-0.08;-0.56;-0.70;1.40
1049;-1.21;-10.01;-1.15;0.06;0.95;-0.08;-0.42;-0.28;1.47
1058;-1.31;-9.89;-1.26;0.07;0.93;-0.08;-0.63;-0.21;0.77
1067;-1.34;-9.86;-1.28;0.07;0.93;-0.08;-0.91;0.49;0.70
1075;-1.14;-9.91;-1.14;0.07;0.93;-0.08;-0.77;0.56;0.56
1084;-1.22;-9.83;-1.16;0.06;0.95;-0.09;-0.70;0.56;0.21
1093;-1.22;-9.81;-1.29;0.06;0.95;-0.09;-0.70;0.77;0.28
1102;-1.32;-9.96;-1.26;0.06;0.95;-0.09;-0.84;0.56;0.14
1111;-1.39;-9.97;-1.29;0.07;0.94;-0.09;-0.91;0.56;0.49
1119;-1.39;-9.92;-1.16;0.07;0.94;-0.09;-0.49;0.49;0.63
1128;-1.36;-9.88;-1.31;0.07;0.94;-0.09;0.35;0.56;1.05
1137;-1.26;-9.87;-1.39;0.06;0.94;-0.09;0.00;0.28;0.98
1146;-1.20;-9.83;-1.30;0.06;0.94;-0.09;0.28;-0.07;0.91
1154;-1.22;-9.82;-1.28;0.06;0.94;-0.09;-0.63;0.00;0.42
1163;-1.24;-9.81;-1.26;0.07;0.93;-0.09;-0.98;0.14;0.14
1172;-1.25;-9.78;-1.13;0.07;0.93;-0.09;-1.47;0.35;0.21
1181;-1.27;-9.78;-1.21;0.07;0.93;-0.09;-0.21;0.84;-0.42
1189;-1.26;-9.86;-1.13;0.07;0.95;-0.08;-0.21;0.84;-0.77
1198;-1.26;-9.92;-1.19;0.07;0.95;-0.08;0.21;1.54;-0.07
1207;-1.23;-9.94;-1.28;0.07;0.95;-0.08;1.05;1.19;0.21
