Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
3129.0;-7.89;5.18;1.61;-0.37;-0.04;-0.27;1.47;2.03;1.47
3139.0;-7.84;5.28;1.61;-0.37;-0.04;-0.27;2.31;2.59;2.31
3148.0;-7.8;5.25;1.59;-0.37;-0.04;-0.27;2.87;1.82;2.87
3157.0;-7.82;5.24;1.65;-0.36;-0.05;-0.29;1.75;1.26;1.75
3166.0;-7.83;5.23;1.71;-0.36;-0.05;-0.29;0.84;0.98;0.84
3176.0;-7.84;5.15;1.51;-0.36;-0.05;-0.29;-0.35;0.42;-0.35
3185.0;-7.8;5.24;1.6;-0.37;-0.05;-0.29;0.28;0.07;0.28
3194.0;-7.89;5.27;1.63;-0.37;-0.05;-0.29;0.35;0.56;0.35
3203.0;-7.91;5.18;1.62;-0.37;-0.05;-0.29;1.54;1.19;1.54
3212.0;-7.85;5.25;1.51;-0.37;-0.04;-0.29;1.54;2.31;1.54
3221.0;-7.85;5.18;1.6;-0.37;-0.04;-0.29;2.03;2.59;2.03
3230.0;-7.8;5.27;1.67;-0.37;-0.05;-0.28;1.89;1.89;1.89
3239.0;-7.82;5.23;1.71;-0.37;-0.05;-0.28;2.24;1.47;2.24
3248.0;-7.82;5.17;1.59;-0.37;-0.05;-0.28;0.91;1.12;0.91
3266.0;-7.79;5.27;1.68;-0.37;-0.05;-0.29;-0.63;-0.49;-0.63
3276.0;-7.92;5.28;1.53;-0.37;-0.05;-0.29;-0.42;-0.21;-0.42
3286.0;-7.85;5.31;1.53;-0.36;-0.04;-0.28;0.49;0.42;0.49
3295.0;-7.85;5.25;1.57;-0.36;-0.04;-0.28;1.68;2.38;1.68
3304.0;-7.87;5.3;1.57;-0.36;-0.04;-0.28;3.36;1.54;3.36
3313.0;-7.9;5.23;1.63;-0.36;-0.05;-0.29;2.45;2.03;2.45
3322.0;-7.8;5.21;1.67;-0.36;-0.05;-0.29;1.54;1.19;1.54
3331.0;-7.8;5.17;1.64;-0.36;-0.04;-0.28;-0.63;1.82;-0.63
3340.0;-7.8;5.16;1.69;-0.36;-0.04;-0.28;0.14;-0.14;0.14
3349.0;-7.78;5.27;1.55;-0.36;-0.04;-0.28;0.63;0.7;0.63
3358.0;-7.9;5.33;1.58;-0.36;-0.05;-0.28;1.4;-1.26;1.4
3367.0;-7.86;5.29;1.63;-0.36;-0.05;-0.28;0.56;1.19;0.56
3377.0;-7.83;5.33;1.56;-0.36;-0.05;-0.28;1.19;0.98;1.19
3386.0;-7.83;5.23;1.56;-0.36;-0.04;-0.3;1.26;0.35;1.26
3395.0;-7.87;5.2;1.64;-0.36;-0.04;-0.3;0.7;2.59;0.7
3404.0;-7.85;5.28;1.53;-0.36;-0.04;-0.3;1.26;2.1;1.26
3413.0;-7.89;5.16;1.54;-0.36;-0.04;-0.29;2.59;2.52;2.59
3422.0;-7.79;5.18;1.54;-0.36;-0.04;-0.29;3.22;1.47;3.22
3431.0;-7.8;5.15;1.74;-0.36;-0.05;-0.29;1.68;1.26;1.68
3440.0;-7.8;5.13;1.69;-0.36;-0.05;-0.29;0.49;0.28;0.49
3449.0;-7.87;5.18;1.54;-0.36;-0.05;-0.29;-0.98;0.0;-0.98
3458.0;-7.82;5.24;1.51;-0.36;-0.05;-0.28;0.28;-0.21;0.28
3467.0;-7.93;5.24;1.59;-0.36;-0.05;-0.28;0.42;0.42;0.42
3476.0;-7.91;5.28;1.49;-0.36;-0.05;-0.28;2.17;0.91;2.17
3486.0;-7.83;5.2;1.62;-0.36;-0.04;-0.3;1.89;2.38;1.89
3495.0;-7.87;5.21;1.63;-0.36;-0.04;-0.3;2.31;1.61;2.31
3504.0;-7.78;5.29;1.64;-0.36;-0.04;-0.3;0.49;1.68;0.49
3513.0;-7.84;5.33;1.62;-0.36;-0.04;-0.28;0.56;0.49;0.56
3522.0;-7.77;5.24;1.57;-0.36;-0.04;-0.28;0.35;0.28;0.35
3531.0;-7.91;5.33;1.51;-0.36;-0.04;-0.28;0.56;0.35;0.56
3540.0;-7.82;5.27;1.56;-0.36;-0.05;-0.28;0.28;0.0;0.28
3549.0;-7.87;5.19;1.56;-0.36;-0.05;-0.28;0.63;0.49;0.63
3558.0;-7.81;5.18;1.55;-0.36;-0.05;-0.29;0.7;1.26;0.7
3567.0;-7.86;5.26;1.56;-0.36;-0.05;-0.29;1.4;1.75;1.4
3576.0;-7.85;5.28;1.46;-0.36;-0.05;-0.29;2.73;1.54;2.73
3586.0;-7.74;5.28;1.6;-0.37;-0.04;-0.28;2.52;2.03;2.52
3595.0;-7.81;5.21;1.62;-0.37;-0.04;-0.28;1.75;1.26;1.75
3604.0;-7.84;5.23;1.62;-0.37;-0.04;-0.28;0.42;1.05;0.42
3613.0;-7.86;5.17;1.67;-0.37;-0.05;-0.28;-0.21;1.12;-0.21
3622.0;-7.78;5.22;1.51;-0.37;-0.05;-0.28;0.56;0.91;0.56
3631.0;-7.85;5.22;1.69;-0.37;-0.05;-0.28;1.82;-0.35;1.82
3640.0;-7.87;5.21;1.67;-0.36;-0.04;-0.29;0.84;1.19;0.84
3649.0;-7.82;5.19;1.64;-0.36;-0.04;-0.29;0.63;1.68;0.63
3658.0;-7.86;5.32;1.51;-0.37;-0.04;-0.29;0.7;2.52;0.7
3667.0;-7.87;5.26;1.53;-0.37;-0.04;-0.29;2.03;2.94;2.03
3676.0;-7.81;5.27;1.68;-0.37;-0.04;-0.29;2.94;3.64;2.94
3686.0;-7.9;5.18;1.72;-0.36;-0.03;-0.29;3.43;3.36;3.43
3696.0;-7.63;5.3;1.61;-0.36;-0.03;-0.29;3.15;2.66;3.15
