Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
0.0;-2.93;-0.85;9.26;-0.01;0.06;-0.27;-29.05;-35.14;-29.05
1.0;-2.89;-1.0;9.28;-0.01;0.06;-0.27;-28.84;-34.86;-28.84
2.0;-2.82;-0.98;9.17;-0.01;0.06;-0.27;-29.33;-34.93;-29.33
4.0;-2.93;-1.1;9.27;-0.0;0.06;-0.32;-28.98;-35.21;-28.98
5.0;-3.07;-1.16;9.45;-0.0;0.06;-0.32;-28.98;-35.14;-28.98
6.0;-3.24;-1.23;9.29;-0.01;0.07;-0.28;-28.84;-35.7;-28.84
7.0;-3.37;-1.41;9.27;-0.01;0.07;-0.28;-29.12;-35.21;-29.12
8.0;-3.27;-1.48;9.18;-0.01;0.07;-0.28;-29.4;-35.0;-29.4
9.0;-3.22;-1.54;9.1;-0.02;0.09;-0.28;-29.05;-35.21;-29.05
10.0;-3.08;-1.56;9.12;-0.02;0.09;-0.28;-28.84;-35.0;-28.84
11.0;-3.13;-1.63;8.94;-0.02;0.09;-0.28;-28.98;-35.07;-28.98
12.0;-3.1;-1.66;8.95;-0.01;0.09;-0.3;-29.12;-35.0;-29.12
13.0;-2.89;-1.84;8.94;-0.01;0.09;-0.3;-29.26;-35.35;-29.26
14.0;-2.71;-1.82;9.06;-0.01;0.09;-0.3;-29.12;-35.14;-29.12
15.0;-2.58;-1.87;8.87;-0.01;0.09;-0.31;-29.33;-35.07;-29.33
17.0;-2.84;-2.08;8.93;-0.01;0.09;-0.31;-29.4;-34.93;-29.4
19.0;-3.19;-2.15;8.75;0.01;0.12;-0.28;-29.47;-34.93;-29.47
20.0;-3.45;-2.22;8.9;0.01;0.12;-0.28;-29.05;-35.56;-29.05
21.0;-3.31;-2.35;8.79;-0.02;0.11;-0.29;-29.19;-35.28;-29.19
22.0;-3.27;-2.51;8.78;-0.02;0.11;-0.29;-29.26;-35.07;-29.26
23.0;-2.99;-2.55;8.84;-0.02;0.11;-0.29;-29.19;-34.86;-29.19
24.0;-2.84;-2.59;8.85;0.0;0.11;-0.33;-29.26;-35.14;-29.26
25.0;-2.85;-2.41;8.8;0.0;0.11;-0.33;-29.12;-35.28;-29.12
26.0;-2.83;-2.46;8.84;0.0;0.11;-0.33;-29.12;-34.86;-29.12
27.0;-2.83;-2.41;8.94;0.0;0.14;-0.32;-29.26;-35.14;-29.26
28.0;-2.9;-2.59;8.99;0.0;0.14;-0.32;-29.26;-35.14;-29.26
29.0;-2.89;-2.58;9.11;0.0;0.14;-0.32;-29.33;-35.35;-29.33
30.0;-2.73;-2.66;9.11;0.0;0.14;-0.29;-29.12;-35.42;-29.12
31.0;-2.78;-2.84;9.02;0.0;0.14;-0.29;-29.19;-34.79;-29.19
32.0;-2.57;-2.75;8.97;0.0;0.14;-0.29;-28.98;-35.14;-28.98
33.0;-2.33;-2.81;8.82;0.0;0.14;-0.31;-28.84;-35.49;-28.84
34.0;-2.48;-2.61;8.76;0.0;0.14;-0.31;-29.12;-34.93;-29.12
35.0;-2.61;-2.65;8.89;0.0;0.14;-0.31;-28.98;-35.21;-28.98
36.0;-2.67;-2.58;8.94;0.02;0.14;-0.3;-29.12;-35.21;-29.12
39.0;-2.94;-2.56;8.83;0.02;0.15;-0.31;-29.26;-34.93;-29.26
40.0;-3.04;-2.42;8.97;0.02;0.15;-0.31;-29.12;-35.14;-29.12
41.0;-2.85;-2.13;9.12;0.02;0.15;-0.31;-29.33;-35.35;-29.33
42.0;-2.6;-2.07;9.35;0.03;0.15;-0.29;-29.19;-35.0;-29.19
43.0;-2.39;-1.97;9.2;0.03;0.15;-0.29;-29.12;-35.28;-29.12
44.0;-2.4;-1.51;9.07;0.03;0.15;-0.29;-28.84;-34.65;-28.84
45.0;-2.69;-1.21;8.85;0.02;0.16;-0.32;-28.84;-35.21;-28.84
46.0;-2.84;-1.59;8.71;0.02;0.16;-0.32;-28.98;-34.72;-28.98
