Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
7651.0;1.23;-1.49;9.43;0.09;0.06;0.17;-0.91;1.12;-0.91
7652.0;1.23;-1.55;9.43;0.09;0.05;0.19;0.28;2.1;0.28
7653.0;1.16;-1.51;9.38;0.09;0.05;0.19;0.56;3.36;0.56
7654.0;1.11;-1.56;9.5;0.09;0.05;0.19;1.12;4.06;1.12
7655.0;1.14;-1.59;9.39;0.09;0.07;0.2;-0.07;2.38;-0.07
7656.0;1.21;-1.59;9.4;0.09;0.07;0.2;-0.77;1.05;-0.77
7657.0;1.21;-1.51;9.38;0.08;0.07;0.19;-0.28;1.47;-0.28
7658.0;1.17;-1.57;9.46;0.08;0.07;0.19;0.84;3.36;0.84
7659.0;1.15;-1.56;9.35;0.08;0.07;0.19;1.05;3.64;1.05
7660.0;1.2;-1.59;9.4;0.08;0.05;0.19;0.91;2.73;0.91
7661.0;1.21;-1.54;9.49;0.08;0.05;0.19;-0.56;1.47;-0.56
7662.0;1.13;-1.52;9.28;0.08;0.06;0.19;-0.14;1.47;-0.14
7663.0;1.17;-1.54;9.4;0.08;0.06;0.19;0.42;2.59;0.42
7664.0;1.12;-1.55;9.45;0.08;0.06;0.19;1.26;3.29;1.26
7665.0;1.16;-1.49;9.53;0.08;0.05;0.2;0.77;3.29;0.77
7666.0;1.13;-1.56;9.42;0.08;0.05;0.2;0.28;2.73;0.28
7667.0;1.2;-1.49;9.4;0.08;0.05;0.2;-0.21;1.4;-0.21
7668.0;1.16;-1.5;9.42;0.07;0.06;0.19;0.28;1.19;0.28
7669.0;1.09;-1.56;9.39;0.07;0.06;0.19;0.14;2.66;0.14
7670.0;1.17;-1.52;9.49;0.07;0.06;0.19;0.98;3.01;0.98
7671.0;1.11;-1.54;9.4;0.08;0.06;0.19;1.05;3.08;1.05
7672.0;1.16;-1.56;9.45;0.08;0.06;0.19;-0.14;1.89;-0.14
7673.0;1.13;-1.51;9.45;0.08;0.06;0.19;0.63;1.68;0.63
7674.0;1.12;-1.48;9.35;0.07;0.06;0.19;0.21;2.45;0.21
7675.0;1.13;-1.54;9.48;0.07;0.06;0.19;1.12;2.87;1.12
7676.0;1.16;-1.56;9.4;0.08;0.05;0.2;0.7;3.08;0.7
7677.0;1.16;-1.62;9.45;0.08;0.05;0.2;0.28;2.17;0.28
7678.0;1.16;-1.6;9.4;0.08;0.07;0.19;-0.14;2.17;-0.14
7679.0;1.17;-1.49;9.41;0.08;0.07;0.19;0.07;2.59;0.07
7680.0;1.14;-1.56;9.42;0.08;0.07;0.19;0.42;2.1;0.42
7681.0;1.11;-1.56;9.5;0.08;0.05;0.19;0.98;2.94;0.98
7682.0;1.22;-1.49;9.36;0.08;0.05;0.19;0.07;3.36;0.07
7683.0;1.23;-1.5;9.42;0.08;0.05;0.19;-0.07;1.68;-0.07
7684.0;1.13;-1.57;9.48;0.07;0.05;0.19;0.7;1.68;0.7
7685.0;1.08;-1.55;9.48;0.07;0.05;0.19;-0.35;2.45;-0.35
7686.0;1.22;-1.47;9.46;0.07;0.05;0.19;0.98;2.59;0.98
7687.0;1.23;-1.58;9.45;0.08;0.06;0.18;0.84;2.59;0.84
7688.0;1.17;-1.5;9.47;0.08;0.06;0.18;0.35;2.38;0.35
7689.0;1.15;-1.55;9.32;0.08;0.06;0.18;0.42;2.24;0.42
7690.0;1.17;-1.5;9.34;0.08;0.05;0.18;0.28;1.75;0.28
7691.0;1.06;-1.51;9.43;0.08;0.05;0.18;-0.21;2.17;-0.21
7692.0;1.13;-1.47;9.35;0.08;0.05;0.18;0.42;2.31;0.42
7693.0;1.21;-1.57;9.4;0.07;0.06;0.17;0.98;3.15;0.98
7694.0;1.29;-1.49;9.46;0.07;0.06;0.17;0.14;2.66;0.14
7695.0;1.26;-1.57;9.3;0.08;0.05;0.19;-0.28;1.96;-0.28
7696.0;1.08;-1.47;9.42;0.08;0.05;0.19;0.21;2.45;0.21
7697.0;1.15;-1.5;9.38;0.08;0.05;0.19;17.85;2.94;17.85
7698.0;1.13;-1.49;9.4;0.08;0.05;0.19;0.91;2.87;0.91
7699.0;1.16;-1.49;9.45;0.08;0.05;0.19;0.14;2.1;0.14
7700.0;1.16;-1.54;9.41;0.09;0.05;0.17;-0.42;1.89;-0.42
7701.0;1.19;-1.49;9.33;0.09;0.05;0.17;0.07;2.17;0.07
7702.0;1.11;-1.49;9.48;0.09;0.06;0.18;0.84;2.59;0.84
