Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
9701.0;-3.29;2.05;9.04;-0.37;0.35;-0.45;0.28;-0.35;0.28
9702.0;-3.28;2.04;8.95;-0.38;0.35;-0.44;0.84;0.77;0.84
9703.0;-3.29;2.05;8.97;-0.38;0.35;-0.44;0.56;0.49;0.56
9704.0;-3.32;2.02;9.05;-0.38;0.35;-0.44;0.56;-0.21;0.56
9705.0;-3.37;2.02;9.03;-0.37;0.34;-0.44;0.28;0.0;0.28
9706.0;-3.28;2.02;8.98;-0.37;0.34;-0.44;0.42;0.28;0.42
9707.0;-3.39;2.05;9.07;-0.37;0.35;-0.43;0.7;0.63;0.7
9708.0;-3.19;2.06;8.85;-0.37;0.35;-0.43;0.21;17.85;0.21
9709.0;-3.37;2.12;9.05;-0.37;0.35;-0.43;-0.07;0.07;-0.07
9710.0;-3.26;2.07;8.99;-0.37;0.34;-0.44;0.63;0.0;0.63
9711.0;-3.27;1.98;8.9;-0.37;0.34;-0.44;0.56;0.14;0.56
9712.0;-3.32;2.13;9.08;-0.37;0.34;-0.44;0.49;0.49;0.49
9713.0;-3.25;1.97;8.89;-0.37;0.35;-0.44;0.35;0.21;0.35
9714.0;-3.31;2.05;8.99;-0.37;0.35;-0.44;0.28;-0.07;0.28
9715.0;-3.37;2.1;8.92;-0.37;0.35;-0.44;0.35;0.63;0.35
9716.0;-3.27;2.07;8.92;-0.37;0.34;-0.44;0.28;0.0;0.28
9717.0;-3.29;2.1;8.94;-0.37;0.34;-0.44;0.63;0.7;0.63
9718.0;-3.23;2.08;9.04;-0.37;0.34;-0.44;0.35;-0.14;0.35
9719.0;-3.3;2.1;8.97;-0.36;0.34;-0.44;0.42;0.14;0.42
9720.0;-3.22;2.01;9.04;-0.36;0.34;-0.44;0.21;0.07;0.21
9721.0;-3.34;2.05;9.03;-0.37;0.35;-0.45;0.49;0.14;0.49
9722.0;-3.33;1.98;8.94;-0.37;0.35;-0.45;0.56;0.49;0.56
9723.0;-3.34;2.03;8.92;-0.37;0.35;-0.45;0.42;0.0;0.42
9724.0;-3.29;2.03;9.02;-0.37;0.35;-0.43;0.42;0.0;0.42
9725.0;-3.32;2.03;8.97;-0.37;0.35;-0.43;1.05;0.0;1.05
9726.0;-3.3;2.12;8.94;-0.37;0.35;-0.43;0.49;0.07;0.49
9727.0;-3.38;2.06;8.98;-0.37;0.35;-0.44;0.63;0.07;0.63
9728.0;-3.26;2.02;8.96;-0.37;0.35;-0.44;0.42;0.49;0.42
