Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
12306.0;-2.92;-1.03;9.02;-0.1;0.17;-0.29;-0.49;0.07;-0.49
12307.0;-3.04;-1.07;9.0;-0.1;0.17;-0.29;1.47;-4.55;1.47
12308.0;-3.14;-1.17;9.17;-0.1;0.17;-0.3;0.98;-4.69;0.98
12309.0;-3.03;-1.19;9.22;-0.1;0.17;-0.3;-0.63;0.56;-0.63
12310.0;-3.04;-1.15;9.06;-0.1;0.17;-0.3;-2.59;2.87;-2.59
12311.0;-3.02;-1.0;9.0;-0.1;0.16;-0.29;-2.59;2.66;-2.59
12312.0;-2.87;-1.08;8.92;-0.1;0.16;-0.29;0.0;-1.33;0.0
12313.0;-2.96;-1.12;9.15;-0.1;0.16;-0.29;1.19;-3.92;1.19
12314.0;-3.01;-1.05;9.19;-0.1;0.16;-0.29;0.7;-3.92;0.7
12315.0;-3.02;-1.11;9.07;-0.1;0.16;-0.29;-0.49;-0.28;-0.49
12316.0;-3.12;-1.12;8.98;-0.1;0.16;-0.29;-1.75;2.17;-1.75
12317.0;-2.99;-1.08;9.0;-0.09;0.16;-0.29;-2.52;2.8;-2.52
12318.0;-3.0;-1.03;8.83;-0.09;0.16;-0.29;0.35;-1.4;0.35
12319.0;-2.96;-1.19;9.08;-0.09;0.16;-0.29;1.4;-4.62;1.4
12320.0;-3.02;-1.06;9.1;-0.1;0.17;-0.29;0.56;-3.15;0.56
12321.0;-3.03;-1.11;9.08;-0.1;0.17;-0.29;-1.47;1.68;-1.47
12322.0;-2.94;-0.95;9.02;-0.1;0.17;-0.29;-2.59;3.29;-2.59
12323.0;-2.94;-1.0;9.05;-0.1;0.17;-0.3;-0.63;0.28;-0.63
12324.0;-2.94;-1.09;8.96;-0.1;0.17;-0.3;1.47;-3.5;1.47
12325.0;-3.03;-1.18;9.04;-0.1;0.16;-0.28;1.33;-4.34;1.33
12326.0;-3.09;-1.08;9.15;-0.1;0.16;-0.28;0.07;-2.03;0.07
12327.0;-3.03;-1.08;9.17;-0.1;0.16;-0.28;-1.26;1.89;-1.26
12328.0;-2.95;-1.03;9.0;-0.1;0.16;-0.29;-2.52;3.15;-2.52
12329.0;-2.96;-1.17;9.0;-0.09;0.16;-0.29;-1.68;0.56;-1.68
12330.0;-2.95;-1.03;9.0;-0.09;0.16;-0.29;1.4;-3.36;1.4
12331.0;-2.99;-1.13;9.04;-0.09;0.15;-0.29;0.84;-3.43;0.84
12332.0;-3.12;-1.13;9.27;-0.09;0.15;-0.29;-0.7;-0.21;-0.7
12333.0;-3.04;-1.05;8.97;-0.09;0.15;-0.29;-1.68;2.24;-1.68
12334.0;-2.95;-1.11;9.06;-0.1;0.17;-0.29;-1.82;1.96;-1.82
12335.0;-2.99;-1.1;8.94;-0.1;0.17;-0.29;-0.84;-0.63;-0.84
12336.0;-2.99;-1.07;9.02;-0.1;0.17;-0.29;0.98;-3.15;0.98
12337.0;-2.99;-1.11;9.01;-0.1;0.17;-0.29;0.91;-3.36;0.91
12338.0;-3.01;-1.11;9.1;-0.1;0.17;-0.29;-0.77;-1.26;-0.77
12339.0;-2.96;-1.11;9.13;-0.1;0.17;-0.29;-1.47;1.19;-1.47
12340.0;-3.02;-1.08;9.07;-0.1;0.17;-0.29;-1.47;2.1;-1.47
12341.0;-2.95;-0.95;8.94;-0.1;0.17;-0.29;-1.33;0.07;-1.33
12342.0;-2.92;-1.12;9.02;-0.1;0.17;-0.29;0.63;-2.73;0.63
12343.0;-3.07;-1.11;8.99;-0.09;0.17;-0.3;1.05;-2.66;1.05
12344.0;-3.07;-1.1;9.12;-0.09;0.17;-0.3;-0.84;-0.35;-0.84
12345.0;-3.06;-1.17;9.08;-0.1;0.16;-0.28;-1.4;1.75;-1.4
12346.0;-3.07;-1.11;9.06;-0.1;0.16;-0.28;-1.54;0.77;-1.54
12347.0;-2.91;-1.04;9.0;-0.1;0.16;-0.28;0.35;-1.47;0.35
12348.0;-3.02;-1.02;9.01;-0.09;0.16;-0.28;0.7;-3.15;0.7
12349.0;-3.1;-1.15;9.08;-0.09;0.16;-0.28;0.07;-2.31;0.07
12350.0;-3.03;-1.13;9.12;-0.09;0.16;-0.28;-0.77;0.35;-0.77
12351.0;-2.94;-1.16;9.04;-0.09;0.17;-0.3;-1.47;1.54;-1.47
12352.0;-3.02;-1.03;9.08;-0.09;0.17;-0.3;-1.33;0.77;-1.33
12353.0;-3.01;-1.16;8.98;-0.09;0.17;-0.3;0.42;-1.89;0.42
12354.0;-2.99;-1.11;9.04;-0.09;0.16;-0.28;0.84;-2.17;0.84
12355.0;-2.99;-1.06;9.08;-0.09;0.16;-0.28;-0.35;-1.33;-0.35
12356.0;-3.03;-1.0;9.02;-0.09;0.16;-0.28;-1.19;0.63;-1.19
12357.0;-2.94;-1.11;9.07;-0.09;0.16;-0.29;-0.91;1.12;-0.91
12358.0;-3.0;-1.06;9.01;-0.09;0.16;-0.29;-1.12;-0.21;-1.12
12359.0;-2.85;-1.07;8.97;-0.09;0.16;-0.29;0.28;-2.03;0.28
12360.0;-3.07;-1.05;9.1;-0.09;0.16;-0.28;0.63;-2.66;0.63
12361.0;-3.03;-1.06;9.04;-0.09;0.16;-0.28;-0.14;-1.4;-0.14
12362.0;-2.96;-1.11;9.04;-0.09;0.16;-0.28;-1.05;0.56;-1.05
12363.0;-2.99;-1.06;9.14;-0.09;0.16;-0.28;-1.33;0.63;-1.33
12364.0;-2.98;-1.08;9.04;-0.09;0.16;-0.28;-0.91;0.35;-0.91
12365.0;-3.0;-1.08;9.07;-0.09;0.16;-0.29;0.63;-1.54;0.63
12366.0;-3.01;-1.16;9.04;-0.1;0.16;-0.29;0.21;-2.03;0.21
12367.0;-3.07;-1.11;9.08;-0.1;0.16;-0.29;-0.49;-0.21;-0.49
